code,rate,base_currency
AED,3.6725,USD
AFN,64.027503,USD
ALL,81.566259,USD
AMD,372.232628,USD
ANG,1.79,USD
AOA,923.788532,USD
ARS,1387.6961,USD
AUD,1.400337,USD
AWG,1.79,USD
AZN,1.699769,USD
BAM,1.672873,USD
BBD,2,USD
BDT,122.711938,USD
BGN,1.672873,USD
BHD,0.376,USD
BIF,2979.427595,USD
BMD,1,USD
BND,1.27694,USD
BOB,6.926857,USD
BRL,4.963602,USD
BSD,1,USD
BTN,94.169857,USD
BWP,13.750083,USD
BYN,2.816202,USD
BZD,2,USD
CAD,1.368396,USD
CDF,2309.181819,USD
CHF,0.78574,USD
CLF,0.022481,USD
CLP,888.582797,USD
CNH,6.832021,USD
CNY,6.843941,USD
COP,3567.772375,USD
CRC,455.95663,USD
CUP,24,USD
CVE,94.31256,USD
CZK,20.837042,USD
DJF,177.721,USD
DKK,6.38318,USD
DOP,60.110793,USD
DZD,132.480858,USD
EGP,52.606816,USD
ERN,15,USD
ETB,155.669194,USD
EUR,0.855327,USD
FJD,2.218172,USD
FKP,0.741736,USD
FOK,6.383121,USD
GBP,0.741737,USD
GEL,2.68978,USD
GGP,0.741736,USD
GHS,11.152719,USD
GIP,0.741736,USD
GMD,74.193029,USD
GNF,8771.900109,USD
GTQ,7.647372,USD
GYD,209.241699,USD
HKD,7.832483,USD
HNL,26.585455,USD
HRK,6.444456,USD
HTG,130.800763,USD
HUF,312.830042,USD
IDR,17302.434736,USD
ILS,3.0007,USD
IMP,0.741736,USD
INR,94.170106,USD
IQD,1309.998571,USD
IRR,1027278.768377,USD
ISK,122.941079,USD
JEP,0.741736,USD
JMD,157.946213,USD
JOD,0.709,USD
JPY,159.61683,USD
KES,129.117465,USD
KGS,87.584284,USD
KHR,3990.778647,USD
KID,1.400334,USD
KMF,420.792979,USD
KRW,1481.451361,USD
KWD,0.307457,USD
KYD,0.833333,USD
KZT,464.62766,USD
LAK,22016.035781,USD
LBP,89500,USD
LKR,316.938184,USD
LRD,184.287299,USD
LSL,16.570079,USD
LYD,6.329169,USD
MAD,9.252064,USD
MDL,17.226069,USD
MGA,4142.369723,USD
MKD,52.505468,USD
MMK,2099.628626,USD
MNT,3605.594087,USD
MOP,8.067458,USD
MRU,40.008323,USD
MUR,46.651926,USD
MVR,15.440686,USD
MWK,1740.780945,USD
MXN,17.390765,USD
MYR,3.962818,USD
MZN,63.663044,USD
NAD,16.570079,USD
NGN,1352.71496,USD
NIO,36.830619,USD
NOK,9.329374,USD
NPR,150.671771,USD
NZD,1.705346,USD
OMR,0.384497,USD
PAB,1,USD
PEN,3.453044,USD
PGK,4.357326,USD
PHP,60.505284,USD
PKR,278.937394,USD
PLN,3.629585,USD
PYG,6359.09705,USD
QAR,3.64,USD
RON,4.351986,USD
RSD,100.355,USD
RUB,75.075083,USD
RWF,1461.646796,USD
SAR,3.75,USD
SBD,7.93986,USD
SCR,14.435547,USD
SDG,511.54049,USD
SEK,9.247787,USD
SGD,1.27694,USD
SHP,0.741736,USD
SLE,24.670057,USD
SLL,24670.057045,USD
SOS,571.761317,USD
SRD,37.490962,USD
SSP,4626.671743,USD
STN,20.955496,USD
SYP,112.929904,USD
SZL,16.570079,USD
THB,32.400082,USD
TJS,9.435926,USD
TMT,3.499919,USD
TND,2.883946,USD
TOP,2.366194,USD
TRY,44.944692,USD
TTD,6.769791,USD
TVD,1.400334,USD
TWD,31.576278,USD
TZS,2577.867059,USD
UAH,43.940214,USD
UGX,3675.416031,USD
USD,1,USD
UYU,39.759632,USD
UZS,12078.601372,USD
VES,483.8695,USD
VND,26189.993569,USD
VUV,118.017746,USD
WST,2.689392,USD
XAF,561.057305,USD
XCD,2.7,USD
XCG,1.79,USD
XDR,0.729976,USD
XOF,561.057305,USD
XPF,102.067804,USD
YER,238.558915,USD
ZAR,16.570374,USD
ZMW,18.918446,USD
ZWG,25.261,USD
ZWL,25.261,USD
